ID	LANGUAGE	FILENAME	NUMBER	FRENCH	MALAGASY	FORM
3362	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	50	ver	kankana	viky
3363	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	51	arbre	hazo	kakazo
3364	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	52	forêt	ala	atiala
3365	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	53	bâton	kibay	kaboda
3366	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	54	fruit	voankazo	voanakakazo
3367	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	55	graine	voa	vo
3368	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	56	feuille	ravina	ravina
3369	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	57	racine	faka	vahany
3370	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	58	écorce	hodi-kazo	hodinakakazo
3371	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	59	fleur	voninkazo	folera
3372	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	60	herbe	ahitra	ahitra
3373	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	61	corde	tady	tady
3374	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	62	peau	hoditra	hoditra
3375	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	63	viande	hena	hena
3376	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	64	sang	ra	ra
3377	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	65	os	taolana	tolagna
3378	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	66	graisse (matière)	taviny	matavy
3379	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	67	œuf	atody	atody
3380	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	68	corne	tandroka	tandroka
3381	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	69	queue	rambo	volombody
3382	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	70	plume	volom-borona	volona vorogna
3383	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	71	cheveux	volo	randrana
3384	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	72	tête	loha	loha
3385	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	73	oreille	sofina	tadigny
3386	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	74	œil	maso	maso
3387	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	75	nez	orona	orogna
3388	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	76	bouche	vava	vava
3389	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	77	dent	nify	nify
3390	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	78	langue	lela	lela
3391	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	79	ongle	hoho	vanjakoho
3392	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	80	pied	tongotra	tongotra
3393	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	81	jambe	ranjo	randro
3394	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	82	genou	lohalika	lohalitra
3395	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	83	main	tanana	tagnana
3396	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	84	aile	elatra	elatra
3397	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	85	ventre	kibo	kibo
3398	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	86	entrailles	tsinay	tsikolika
3399	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	87	cou	vozona	vozogna
3400	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	88	dos	lamosina	lamosina
3401	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	89	poitrine	tratra	tratra
3402	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	90	cœur	fo	fo
3403	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	91	foie	aty	aty
3404	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	92	boire	misotro	misotro
3405	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	93	manger	mihinana	mihinana
3406	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	94	mordre	manaikitra	magnekitra
3407	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	95	sucer	mifiaka	mitsisitra
3408	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	96	cracher	mandrehoka	mandrehoka
3409	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	97	vomir	mandoa	mandoa
3410	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	98	souffler	mitsoka	mitsotra
3411	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	99	respirer	miaina	miaigna
3412	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	100	rire	mihomehy	mihomehy
3413	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	101	voir	mahita	mahita
3414	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	102	entendre	mihaino	miteno
3415	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	103	savoir	mahay	mahay
3416	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	104	penser	mieritreritra	mieritreritra
3417	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	105	sentir (par le nez)	manimbolo	mifofona
3418	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	106	craindre	matahotra	mataotra
3419	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	107	dormir	matory	mandry
3420	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	108	vivre	velona	velogna
3421	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	109	mourir	maty	maty
3422	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	110	tuer	mamono	mamono
3423	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	111	se battre	miady	miady
3424	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	112	chasser	mihaza	mambely
3425	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	113	frapper	mikapoka	mandraboka
3426	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	114	couper	mandidy	manapaky
3427	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	115	fendre (diviser)	mamaky	mamaky
3428	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	116	poignarder	manatsatoka antsy	manitroboka kiso
3429	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	117	gratter	mikiky	mikiky
3430	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	118	creuser	mangady	mangady
3431	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	119	nager	milomano	mandagno
3432	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	120	voler	manidina	miborigna
3433	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	121	aller	mandeha	mandeha
3434	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	122	venir	avy	avy
3435	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	123	être couche	mandry	mandry
3436	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	124	être assis	mipetraka	mipetraka
3437	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	125	être debout	mitsangana	mitsangana
3438	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	126	tourner	mihodina	mihodigna
3439	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	127	tomber	mianjera	lavo
3440	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	128	donner	manome	magnome
3441	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	129	tenir	mitantana	mitana
3442	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	130	presser (comme un citron)	manery	mamoritra
3443	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	131	frotter	manakasoka	mampikasika
3444	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	132	laver	manasa	manasa
3445	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	133	essuyer	mamafa	mamafa
3446	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	134	tirer	mitifitra	mitifitra
3447	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	135	pousser	manosika	manosika
3448	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	136	jeter (lancer)	manoraka	mamalavala
3449	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	137	lier	mamehy	mamatotra
3450	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	138	coudre	manjaitra	manjaitra
3451	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	139	compter	manisa	magnisa
3452	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	140	dire	milaza	mizaka
3453	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	141	chanter	mihira	mihira
3454	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	142	jouer	milalao	milalao
3455	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	143	flotter	mitsinkafona	mitsingevaheva
3456	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	144	couler	mikoriana	mikorisa
3457	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	145	geler	mandry	mandry
3458	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	146	gonfler	mibontsina	mivonto
3459	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	147	soleil	masoandro	masoandro
3460	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	148	lune	volana	vola
3461	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	149	étoile	kintana	kintana
3462	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	150	eau	rano	rano
3463	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	151	pluie	orana	orana
3464	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	152	rivière	renirano	renirano
3465	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	153	lac	farihy	kanaly
3466	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	154	mer	ranomasina	ranomasina
3467	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	155	sel	sira	sira
3468	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	156	pierre	vato	vato
3469	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	157	sable	fasika	fasina
3470	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	158	poussière	vovoka	vovoka
3471	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	159	terre	tany	tany
3472	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	160	nuage	rahona	rahogna
3473	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	161	brouillard	zavona	zavogna
3474	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	162	ciel	lanitra	lagnitra
3475	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	163	vent	rivotra	agnina
3476	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	164	neige	ranomandry	ranomandry
3477	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	165	glace	ranomandry	ranomandry
3478	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	166	fumée	setroka	zavogna
3479	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	167	feu	afo	afo
3480	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	168	cendre	lavenona	lavenona
3481	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	169	brûler	mandoro	magnoro
3482	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	170	route	lalana	lalana
3483	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	171	montagne	tendrombohitra	vohitra
3484	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	172	rouge	mena	mena
3485	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	173	vert	maitso	metso
3486	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	174	jaune	mavo	mavo
3487	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	175	blanc	fotsy	fotsy
3488	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	176	noir	mainty	minty
3489	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	177	nuit	alina	hariva
3490	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	178	jour	andro	andro
3491	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	179	an (année)	taona	taona
3492	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	180	chaud	mafana	mafana
3493	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	181	froid	mangatsiaka	mangatsika
3494	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	182	plein	feno	feno
3495	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	183	nouveau	vaovao	vao
3496	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	184	vieux	antitra	antitra
3497	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	185	bon	tsara	tsara
3498	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	186	mauvais	ratsy	ratsy
3499	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	187	pourri	lo	bobongolo
3500	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	188	sale	maloto	maloto
3501	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	189	droit	mahitsy	mahitsy
3502	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	190	rond	boribory	boribory
3503	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	191	tranchant	maranitra	maranitra
3504	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	192	émoussé	dombo	dombo
3505	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	193	lisse	malama	malama
3506	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	194	mouillé	mando	mando
3507	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	195	sec	maina	maigna
3508	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	196	juste (correct)	mety	mety
3509	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	197	près	akaiky	marivo
3510	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	198	loin	lavitra	lavitra
3511	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	199	droite	havanana	havanana
3512	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	200	gauche	havia	havia
3513	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	201	à	any	agny
3514	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	202	dans	anaty	agnaty
3515	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	203	avec	amin'ny	amin ny
3516	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	204	et	sy	de
3517	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	205	si	raha	raha
3518	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	206	parce que	satria	satria
3519	Antambohoaka (Mananjary)	17-Antambohoaka.Mananjary.txt	207	nom	anarana	agnarana
3520	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	1	je	izaho	zaho
3521	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	2	tu	ianao	anao
3522	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	3	il	izy	izy
3523	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	4	nous	isika	atsika
3524	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	5	vous	ianareo	areo
3525	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	6	ils	izy ireo	zareo
3526	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	7	ceci	ity	toy
3527	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	8	cela	izany	zany
3528	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	9	ici	eto	aketo
3529	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	10	là	ao	aroy
3530	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	11	qui	iza	azovy
3531	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	12	que (qu'est-ce que; quoi)	inona	ino
3532	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	13	où	aiza	aiza
3533	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	14	quand	oviana	afiriagna
3534	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	15	comment	ahoana	manankory
3535	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	16	ne pas	tsy	aza
3536	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	17	tout	rehetra	jiaby
3537	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	18	beaucoup	betsaka	maro
3538	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	19	quelques	vitsivitsy	tsy fontry
3539	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	20	peu	kely	hely
3540	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	21	autre	hafa	hafa
3541	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	22	un	iray	araiky
3542	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	23	deux	roa	aroa
3543	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	24	trois	telo	telo
3544	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	25	quatre	efatra	aifatra
3545	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	26	cinq	dimy	dimy
3546	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	27	grand	lehibe	geda
3547	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	28	long	lava	lava
3548	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	29	large	malalaka	malalaka
3549	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	30	épais	matevina	matevigny
3550	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	31	lourd	mavesatra	mavesatra
3551	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	32	petit	kely	hely
3552	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	33	court	fohy	fohy
3553	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	34	étroit	tery	mahety
3554	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	35	fin	manify	matify
3555	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	36	femme	vehivavy	vaiavy
3556	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	37	homme (mâle adulte)	lehilahy	lalahy
3557	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	38	homme (être humain)	olona	ologno
3558	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	39	enfant	zaza	zaza
3559	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	40	femme (épouse)	vady	vady
3560	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	41	mari	vady	vady
3561	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	42	mère	reny	niny
3562	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	43	père	ray	baba
3563	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	44	animal	biby	biby
3564	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	45	poisson	trondro	laoko
3565	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	46	oiseau	vorona	vorogno
3566	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	47	chien	alika	amboa
3567	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	48	pou	hao	hao
3568	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	49	serpent	bibilava	bibilava
3569	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	50	ver	kankana	hankagna
3570	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	51	arbre	hazo	kakazo
3571	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	52	forêt	ala	atiala
3572	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	53	bâton	kibay	koboay
3573	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	54	fruit	voankazo	voankazo
3574	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	55	graine	voa	ambe
3575	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	56	feuille	ravina	raviny
3576	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	57	racine	faka	vahany
3577	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	58	écorce	hodi-kazo	hodikakazo
3578	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	59	fleur	voninkazo	felagna
3579	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	60	herbe	ahitra	ahitry
3580	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	61	corde	tady	tady
3581	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	62	peau	hoditra	hoditry
3582	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	63	viande	hena	hena
3583	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	64	sang	ra	lio
3584	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	65	os	taolana	taholagna
3585	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	66	graisse (matière)	taviny	vondraka
3586	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	67	œuf	atody	atody
3587	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	68	corne	tandroka	ampondo
3588	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	69	queue	rambo	ohy
3589	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	70	plume	volom-borona	volomborogno
3590	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	71	cheveux	volo	maramaragna
3591	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	72	tête	loha	loha
3592	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	73	oreille	sofina	sofigny
3593	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	74	œil	maso	maso
3594	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	75	nez	orona	horogno
3595	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	76	bouche	vava	vava
3596	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	77	dent	nify	nify
3597	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	78	langue	lela	lela
3598	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	79	ongle	hoho	angofo
3599	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	80	pied	tongotra	hongotro
3600	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	81	jambe	ranjo	vavitsy
3601	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	82	genou	lohalika	lohalina
3602	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	83	main	tanana	tagnagna
3603	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	84	aile	elatra	embagna
3604	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	85	ventre	kibo	boko
3605	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	86	entrailles	tsinay	tsinay
3606	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	87	cou	vozona	ambozogno
3607	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	88	dos	lamosina	tahezagna
3608	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	89	poitrine	tratra	tratra
3609	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	90	cœur	fo	fo
3610	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	91	foie	aty	aty
3611	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	92	boire	misotro	migiaka
3612	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	93	manger	mihinana	homagna
3613	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	94	mordre	manaikitra	magnekitry
3614	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	95	sucer	mifiaka	minono
3615	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	96	cracher	mandrehoka	mihaka
3616	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	97	vomir	mandoa	mandoa
3617	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	98	souffler	mitsoka	mitsotro
3618	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	99	respirer	miaina	miaigny
3619	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	100	rire	mihomehy	mimoehy
3620	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	101	voir	mahita	mahita
3621	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	102	entendre	mihaino	mitandregny
3622	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	103	savoir	mahay	mahay
3623	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	104	penser	mieritreritra	mieritreritry
3624	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	105	sentir (par le nez)	manimbolo	maharegny
3625	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	106	craindre	matahotra	matahotro
3626	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	107	dormir	matory	mandry
3627	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	108	vivre	velona	velogno
3628	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	109	mourir	maty	maty
3629	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	110	tuer	mamono	mamono
3630	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	111	se battre	miady	miady
3631	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	112	chasser	mihaza	mangorogno
3632	Tsimihety (Mandritsara)	18-Tsimihety.Mandritsara.txt	113	frapper	mikapoka	mamboko
